月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,1,1,4.9,0.002883522,0,0,80.59520093,-74,-48
1,1,2,5.133333333,0.002767491,0,0,83.55219875,-63,-72
1,1,3,5.083333333,0.002540639,0,0,87.35647008,-51,-85
1,1,4,4.916666667,0.002564805,0,0,86.22844795,-38,-87
1,1,5,4.55,0.002290571,0,0,89.78488232,-26,-79
1,1,6,4.183333333,0.002486906,0,0,84.6099563,-14,-72
1,1,7,3.516666667,0.002323841,0,0,84.90632188,-3,-64
1,1,8,3.383333333,0.002253846,2.317456274,19.20417573,85.69574512,8,-55
1,1,9,4.566666667,0.00218865,231.9741466,119.1778811,91.81773856,17,-45
1,1,10,5.716666667,0.002145244,412.1063336,149.6484023,97.45164678,25,-32
1,1,11,5.35,0.002146343,17.82827667,180.3912315,95.89838623,30,-18
1,1,12,4.45,0.00175613,7.120377613,160.2337953,100.2354117,32,-2
1,1,13,2.55,0.001806801,6.968936691,154.8532814,91.37526859,31,14
1,1,14,1.833333333,0.001587403,7.559084268,138.373145,93.35322011,26,29
1,1,15,3.033333333,0.00168257,1.905472123,54.93307656,96.05090864,19,42
1,1,16,3.166666667,0.001651273,1.904414485,30.21328714,97.29336401,10,53
1,1,17,2.766666667,0.001559001,0,0,97.77176789,0,62
1,1,18,2,0.001475924,0,0,96.62489531,-11,70
1,1,19,1.3,0.001403529,0,0,95.56468465,-23,77
1,1,20,0.633333333,0.001613621,0,0,87.97058386,-35,85
1,1,21,1.466666667,0.001629914,0,0,90.91676018,-48,87
1,1,22,0.933333333,0.001447473,0,0,93.04131005,-60,76
1,1,23,0.516666667,0.001365364,0,0,93.390045,-71,56
1,1,24,-0.466666667,0.001307428,0,0,90.96963048,-78,8
1,2,1,-1.666666667,0.001197119,0,0,89.15466323,-74,-48
1,2,2,-2.7,0.001139706,0,0,86.72261922,-63,-72
1,2,3,-2.666666667,0.001173475,0,0,85.94209392,-51,-84
1,2,4,-3.2,0.001187176,0,0,83.54664466,-39,-87
1,2,5,-3.55,0.001214408,0,0,81.50199901,-26,-79
1,2,6,-3.533333333,0.001360997,0,0,77.83006549,-14,-72
1,2,7,-3.8,0.001305579,0,0,78.20988381,-3,-64
1,2,8,-2.483333333,0.001377829,217.5284548,46.95641595,81.40939608,8,-55
