L_H_d_t_i[0],L_H_d_t_i[1],L_H_d_t_i[2],L_H_d_t_i[3],L_H_d_t_i[4],L_H_d_t_i[5],L_H_d_t_i[6],L_H_d_t_i[7],L_H_d_t_i[8],L_H_d_t_i[9],L_H_d_t_i[10],L_H_d_t_i[11],L_CS_d_t_i[0],L_CS_d_t_i[1],L_CS_d_t_i[2],L_CS_d_t_i[3],L_CS_d_t_i[4],L_CS_d_t_i[5],L_CS_d_t_i[6],L_CS_d_t_i[7],L_CS_d_t_i[8],L_CS_d_t_i[9],L_CS_d_t_i[10],L_CS_d_t_i[11],L_CL_d_t_i[0],L_CL_d_t_i[1],L_CL_d_t_i[2],L_CL_d_t_i[3],L_CL_d_t_i[4],L_CL_d_t_i[5],L_CL_d_t_i[6],L_CL_d_t_i[7],L_CL_d_t_i[8],L_CL_d_t_i[9],L_CL_d_t_i[10],L_CL_d_t_i[11]
1.342858234,0.735250866,0.257278912,0.308622907,0.415672115,0.078369324,0,0.030271876,0.213785828,0.303532021,0.170375973,0.063666888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.360599892,0.744786081,0.254360226,0.309627214,0.418527173,0.081539917,0,0.03731776,0.226028571,0.30380076,0.175710216,0.064797949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.437455728,0.785096387,0.268192482,0.327324272,0.441514497,0.08642225,0,0.042057652,0.242564475,0.319094356,0.185502732,0.068022005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.843951585,1.003146818,0.34902681,0.424011676,0.568364749,0.109843358,0,0.054976227,0.311517995,0.408383905,0.235693185,0.086194269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.175826474,1.183736195,0.411994119,0.500022684,0.670230067,0.129945578,0,0.065716892,0.370669917,0.481246814,0.278835121,0.101778447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.144592147,1.17093573,0.398793976,0.486720879,0.65632921,0.129747759,0,0.065568743,0.37116704,0.474062223,0.277972996,0.101296331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.150053203,1.167395519,0.617276025,0.499670754,0.664093179,0.116845027,0,0,0.184171183,0.479021428,0.273374305,0.100408636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.832864499,1.166051478,0.878904559,0.43144284,0.743161922,0.113006314,0,0,0.082216894,0.559667829,0.296193049,0.110061575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.381686732,0,0,0,0.530217781,0,0,0,2.443082458,0.613000459,0.458091327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.332469002,0,0,0,0.94134529,0,0,0,3.692660454,0.053518996,0.547132542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.801056308,0,0,0,3.069236293,0,0.147761087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.978924559,0,0,0,4.381471653,0,0.247900646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.077604911,0,0,0,5.308021048,0,0.372863318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.754819737,0,0,0,5.718640868,0,0.362668907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.857837644,1.504690077,1.128122746,0.159448392,0.808876521,0.216953362,0,0,0.222856622,1.868577974,0.049272891,0.133922376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.407588911,1.653596981,0,1.67201798,0,0,0,0,1.878226434,0.174936706,0.164201296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.903833005,1.109368717,0.813851163,0,0.841377318,0,0,0,2.163747796,0.591077467,0.108521552,0.062068341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.261051398,1.34641044,0.916015125,0,0.924482914,0.023833498,0,0,0.733590134,0.768431573,0.155673402,0.04765971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.571557909,1.119018514,0.90837168,1.108789201,0.187690519,0,0,0,1.384330202,0.169677834,0.059148415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.2273197,2.675581024,0,0,0.476972997,0,0,0,2.18319946,0.15225569,0.100490713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.428032079,2.869454262,2.336036535,0,0,0,0,0,0.749948595,1.40986574,0.086267839,0.229776261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.590372031,2.363824073,1.852258844,0,0,0,0,0,1.013527425,1.067171431,0.401645131,0.201058725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.072549619,1.233666164,0.351776028,0.37906694,0.568303601,0.029131139,0,0,2.038138739,0.523669669,0.253116486,0.105480858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.776663343,1.586866869,0.405525383,0.542016668,0.782165591,0.156261162,0,0,0.426007116,0.652384544,0.346349794,0.135047679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.926301744,1.639031276,0.425714353,0.592357795,0.837434173,0.171296855,0,0.042517157,0.480410751,0.665440628,0.364549845,0.138230422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.030089361,1.692302637,0.430095064,0.609527643,0.864247402,0.183834496,0,0.070549074,0.520874026,0.678701629,0.384736852,0.143815493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.921541314,1.626455484,0.417860962,0.590271067,0.834440323,0.178970037,0,0.078091837,0.511336445,0.649907924,0.372099535,0.138177575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.96494218,1.649403673,0.424993716,0.598998881,0.846447829,0.182890526,0,0.08367464,0.525793276,0.657180144,0.379285621,0.140323024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.857409494,1.587472817,0.413965927,0.579867355,0.817312541,0.176281944,0,0.082391885,0.509623037,0.632181701,0.365414762,0.134906938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.436970322,1.322446256,0.620030593,0.482296,0.678007391,0.146888233,0,0.016448567,0.388188865,0.529764974,0.308169116,0.113766683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.112628151,1.833216109,1.324285214,1.101622581,1.368585396,0.184180088,0,0,0.183773895,0.756546778,0.438574787,0.158348563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.546138778,1.95850682,1.577895515,1.079501267,1.284326576,0.255451423,0,0,0.199498231,1.059737679,0.544802769,0.201449336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.082719832,2.906005507,0,1.171568944,1.605373964,0.343738593,0,0,0.018613527,1.458439082,0.69181608,0.260007467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.076412384,1.818784942,1.226619486,0.957278579,1.240190089,0.210604874,0,0,0.210850757,0.917326883,0.426105949,0.151561144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.533590391,1.737168567,1.26066924,0.906099293,1.17320762,0.187596156,0,0,0.493368459,0.889003139,0.374041891,0.127986731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.207358073,1.660984657,1.241627398,0.858256302,1.121893537,0.172205113,0,0,0.509599186,0.87285202,0.336578099,0.113279109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.431308351,2.089752321,1.590721577,1.084460561,1.42809943,0.207875381,0,0,0.417847964,1.121258728,0.407930057,0.139297795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.507924125,1.098434822,0.818261713,0.541097374,0.733895684,0.113596909,0,0,0.33510653,0.604252777,0.216802686,0.075340911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.075133425,0.954232737,0.565167931,0.253466542,0.478081237,0.255614613,0,0,0.35828664,0.977304906,0.248737763,0.174696286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.309404779,0.775368784,0.508796958,0.747866016,0.362589524,0,0,0,1.143969692,0.273006566,0.272354091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.184922964,0.86771526,0.628626798,1.115985877,0.199459327,0,0.0282417,0.127241697,0.766376108,0.352801255,0.160757751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.491354174,0.833889712,0.666338953,0.556732285,0.323143288,0.100205727,0,0.007831362,0.111907418,0.396927452,0.197422681,0.080935096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.620988183,0.946428129,0.756148069,0.632846931,0.617747894,0.107328601,0,0,0.141410799,0.426668294,0.225396511,0.086240535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17389635,1.913455401,1.512698133,0.193660464,1.531652665,0.153773465,0,0.020276908,0.188624,0.848512361,0.438597415,0.167697485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.932036456,1.454964251,1.155118857,0.763444712,0.600276584,0,0,0,1.061270605,0.640394398,0.32763873,0.125518091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.852755352,1.938203757,1.521771022,0.059692207,0.458952156,0,0,0,0.589329349,0.846741374,0.420478685,0.166597966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.356196871,1.205271629,0.707884756,0.178091272,0.564011519,0.045534932,0,0,2.055126574,0.520124459,0.263681335,0.102761407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.78874501,1.570770535,0.61395715,0.657296946,0.889638003,0.1486758,0,0,0.416129575,0.662869857,0.351933306,0.132899354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.834900721,1.555121614,0.585298104,0.675511798,0.897097306,0.158210051,0,0.051094369,0.452231926,0.648212173,0.354298911,0.131551234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.04422689,1.646272302,0.629228793,0.735386849,0.965571383,0.171442171,0,0.076527924,0.494499825,0.684572827,0.376268935,0.138504745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.000500994,1.617972851,0.618007682,0.723293179,0.949733098,0.171965112,0,0.084595571,0.497103509,0.669363141,0.374468356,0.137050675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.029036662,1.633120207,0.621821827,0.727139886,0.956323448,0.175776141,0,0.089580039,0.508776851,0.673206404,0.381400221,0.139097986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.146296666,1.695933285,0.645336583,0.753794366,0.991705491,0.183439567,0,0.094776862,0.531938431,0.698445256,0.397302431,0.144631534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.78418235,1.363817159,0.742347015,0.604236159,0.793904949,0.147750786,0,0.033779464,0.426734685,0.564326894,0.322771002,0.117494647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.544015363,1.783281795,1.321373267,1.109904975,1.358582286,0.187037424,0,0,0.260069136,0.750657483,0.436140406,0.155814162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.786255559,1.732662877,1.331787867,1.096828152,1.33366791,0.185983867,0,0,0.250447041,0.751848848,0.428533882,0.151101821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.064760781,2.275069663,0,1.126153207,1.467622564,0.245302384,0,0,0.201284418,1.0020451,0.545163528,0.195912266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.255072802,1.545674622,1.080090538,0.9079958,1.135525804,0.164372644,0,0,0.2614626,0.696234235,0.367102006,0.127767347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.444484773,0.883331745,0.646980136,0.505495838,0.635217953,0.093666101,0,0.020037486,0.259768008,0.405661653,0.205938951,0.069966083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.371366634,0.627547504,0.470248193,0.359724808,0.451443017,0.064543548,0,0.014205768,0.194982282,0.294261183,0.139658342,0.046921477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27757155,0.331887442,0.253248345,0.199292226,0.246863641,0.032728463,0,0,0.077153381,0.153346511,0.071634065,0.02447583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.50491491,0.303765527,0.231259692,0.186166089,0.229233261,0.030322067,0,0.008358145,0.09108963,0.134385449,0.066916185,0.023015696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.509289681,0.294888805,0.223645097,0.181630711,0.223182289,0.029954474,0,0.010480246,0.091881332,0.127297073,0.066410562,0.022853664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.364570359,0.334643476,0.255120594,0.208442688,0.256618591,0.035011521,0,0.009159059,0.069517037,0.142514691,0.077859765,0.027136093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.341488048,0.438148783,0.337878338,0.279175532,0.342387547,0.046532508,0,0.013363376,0.085439877,0.185727257,0.103615364,0.036433613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.492818699,0.513410907,0.398569713,0.326846055,0.225152532,0.055202406,0,0.009788214,0.095527643,0.218021393,0.120176993,0.043258798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.836847581,0.672021123,0.524075646,0.429527281,0.423736324,0.073220232,0,0.003273846,0.121271386,0.286198387,0.1599587,0.057365404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.177994971,1.594373597,1.235013055,0.149447029,1.220256801,0.13097019,0,0.018328959,0.188279143,0.683024801,0.371882949,0.137130688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.682979318,1.267159792,0.987533625,0.621263403,0.464237895,0,0,0,0.872832314,0.545097165,0.289834868,0.109170684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.225228169,1.541593424,1.18625754,0,0.220288977,0,0,0,0.394591723,0.660907357,0.33660686,0.133434007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.974436608,1.039554214,0.557258653,0.027015273,0.399016994,0,0,0,1.698627001,0.440305453,0.226285698,0.089147707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.051659419,1.212803536,0.342535352,0.399752493,0.590615174,0.114762868,0,0,0.328697598,0.499685232,0.268999537,0.102855469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.13687971,1.221867325,0.306651539,0.418782992,0.603498999,0.126117392,0,0.020713473,0.369105299,0.495913083,0.272465222,0.102631949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.335243786,1.312823292,0.322469671,0.46131664,0.656439623,0.139631822,0,0.048231837,0.412611888,0.530318957,0.291597325,0.109039387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.42958732,1.365475993,0.312138578,0.466316234,0.671117464,0.149392156,0,0.061021189,0.44245614,0.546228643,0.306569372,0.114112067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.682984386,1.501075697,0.342914309,0.515789701,0.739684062,0.164506035,0,0.071673928,0.489717603,0.600342383,0.334913075,0.124534012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.677322229,1.493677373,0.343949712,0.517011323,0.738843447,0.163520189,0,0.073254881,0.488732469,0.597306582,0.331920581,0.12335082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.423723295,1.322592423,0.587231923,0.450024425,0.645187978,0.145309895,0,0.009220666,0.389468673,0.531532117,0.29791996,0.110795379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.777580059,1.821574031,1.286477259,1.05304081,1.324694034,0.178799308,0,0,0.146366211,0.746849859,0.430846618,0.156174849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.240970192,1.87640826,1.397777169,1.118203731,1.388911758,0.198236331,0,0,0.173165485,0.804513016,0.445507595,0.158855801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.286181581,2.568107148,0,1.055750226,1.470400457,0.272046553,0,0,0.026700716,1.127291676,0.572752758,0.210783833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.124893082,1.708294856,1.101136972,0.915453816,1.186276639,0.178241956,0,0,0.20838243,0.769079637,0.375796129,0.131697312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.295332318,1.527930776,1.064750627,0.798314144,1.03595325,0.156435287,0,0,0.444525195,0.708472063,0.321586409,0.10897032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.843621395,1.053276653,0.75805044,0.536166782,0.70497958,0.107465359,0,0,0.334772107,0.508358575,0.213399916,0.071236205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.194685976,1.13465796,0.831399532,0.582898219,0.767765595,0.111481648,0,0,0.237686498,0.555351253,0.220262188,0.074347951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.410777402,0.292679572,0.211685018,0.151905717,0.19918472,0.028741009,0,0,0.090583662,0.137546977,0.056536747,0.019178329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.490741267,0.322941016,0.232169075,0.172053894,0.22401892,0.032380903,0,0.000850961,0.105001048,0.145006654,0.06453463,0.022161609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.217708749,0.385435615,0.280372369,0.21523969,0.278708163,0.040395282,0,0,0.06046988,0.167124279,0.081968935,0.029066047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093038642,0.452386835,0.338912341,0.270255481,0.342905318,0.048177755,0,0.002319507,0.066489817,0.189896955,0.099905789,0.035865246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.235228259,0.549815437,0.416840851,0.330694192,0.152723502,0.059805548,0,0,0.077202686,0.229613272,0.121053029,0.044829522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.229296536,0.568774429,0.435785293,0.349712346,0.321123806,0.061904898,0,0,0.078844733,0.23928311,0.127227346,0.04672439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.048249518,0.798412564,0,0.785569996,0.077381026,0,0,0.067826738,0.44452451,0.228889855,0.087006592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.233835381,0.898075822,0.693880361,0.407261602,0.252096522,0,0,0,0.560330084,0.385487411,0.190487207,0.074076039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.830367525,1.218417107,0.934344622,0,0.093760775,0,0,0,0.260384424,0.524461737,0.244385412,0.100377279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.810735588,1.000756223,0.503836019,0,0.334365685,0,0,0,1.608397286,0.420539586,0.2095426,0.084570967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.765814126,1.036944711,0.283784876,0.345077598,0.506335609,0.092650047,0,0,0.27074932,0.429575552,0.21807906,0.084675226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.799589937,1.036291014,0.233532073,0.339427578,0.498947327,0.106494829,0,0.011831978,0.312993327,0.416425463,0.229329471,0.086971651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.822711921,1.031919611,0.230751246,0.3480339,0.504448945,0.110538033,0,0.03597129,0.326667867,0.411943325,0.229734677,0.086247054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.795850267,1.003249728,0.239474816,0.353738226,0.503072722,0.108175225,0,0.044347492,0.321403012,0.401451013,0.222335966,0.083029498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.25980466,1.268922594,0.284742678,0.431899301,0.623856718,0.140814021,0,0.061626129,0.417506439,0.502080175,0.287397662,0.106759227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.210890235,1.247732154,0.262683782,0.410466525,0.601509265,0.140891426,0,0.062932952,0.417964236,0.489288738,0.285950521,0.10596965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.679557658,1.027658391,0.468389557,0.364933152,0.515483283,0.112198485,0,0.009412697,0.304087316,0.412080356,0.231422813,0.086014757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77148965,1.398121755,1.001168018,0.832508264,1.035873906,0.137628618,0,0,0.134109087,0.57559407,0.328018255,0.118840597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.829388098,1.947297524,1.519552331,1.107388607,1.337834968,0.233448138,0,0,0.197613202,0.967592895,0.505034516,0.184385446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.401289551,3.337365264,0,1.130398546,1.61467356,0.418794593,0,0,0,1.847505764,0.803981764,0.312134505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.749384214,1.606796126,1.065880814,0.50792157,0.678949954,0.349675673,0,0,0.109590191,1.656181548,0.545504267,0.229648442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35525594,0.938916805,0.750726688,0,0.187002118,0.394703955,0,0,0.169953047,1.891694744,0.176819994,0.202208216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.609208418,0.342676675,0.255259262,0.108166102,0.172792597,0.0769616,0,0,0.057871367,0.438556496,0.038742862,0.022857674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.448556126,0.345280306,0.14011505,0.230774715,0.081822077,0,0,0,0.583019942,0.044886877,0.016318266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.258889057,0.356208449,0.263214323,0.052314309,0.15277398,0.083646776,0,0,0.078936847,0.516086316,0.045286704,0.016135607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.516803877,0.10072476,0.085352832,0.060846668,0.013596816,0.024675154,0,0,0,0.103502395,0.007572497,0.017722507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.966802845,0.269354903,0.251906045,0.200674172,0.211572864,0.037401115,0,0,0.007731568,0.153535948,0.051124451,0.029412162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090393269,0.921682569,0.754160623,0.101571658,0.771626722,0.081592586,0,0.01218487,0.069759053,0.432412967,0.207429387,0.086368758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.487441599,0.706253792,0.569579157,0.38051139,0.309799852,0,0,0,0.527207445,0.317267627,0.160528531,0.063298962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.87628676,0.90408601,0.713646667,0.035848493,0.225647187,0,0,0,0.276627582,0.395268124,0.202308707,0.080650753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
